your name. (movie)	Amuse
Nodame Cantabile: Paris (TV)	Asmik Ace Entertainment, Inc.
JoJo's Bizarre Adventure: Diamond Is Unbreakable (TV)	JoJo's Bizarre Adventure DU Production Committee
Berserk (TV)	Hakusensha
Brave King GaoGaiGar Final (OAV)	Sunrise
Owarimonogatari (specials)	Aniplex
Kaiba (TV)	Madhouse
Ping Pong (TV)	Aniplex
Princess Tutu (TV)	Dentsu Inc.
Conan, the Boy in Future (TV)	NHK
Hotarubi no Mori e (movie)	Aniplex
Azumanga Daioh (TV)	Azumanga Daioh Production Committee
Full Metal Panic? Fumoffu (TV)	Ani Village
Mushishi Zoku-Shō Tokubetsu-hen: Odoro no Michi (special)	Aniplex
(The) Rose of Versailles (TV)	Tokyo Movie Shinsha
Nodame Cantabile: Finale (TV)	Asmik Ace Entertainment, Inc.
Eden of the East (TV)	Hiroko Yamada
Hunter X Hunter: G I Final (OAV)	Hunter x Hunter OVA Production Committee
Haikyu!! (TV)	Mainichi Broadcasting System
Maquia - When the Promised Flower Blooms (movie)	unknown
Natsume Yūjin-Chō Roku (TV 6)	NAS
Yuri!!! on Ice (TV)	unknown
Girls und Panzer der Film (movie)	Bandai Visual
Kimi ni Todoke 2nd Season (TV)	D.N. Dream Partners
Assassination Classroom (TV 2)	BS Fuji
Trigun (TV)	Victor Entertainment
Mob Psycho 100 (TV)	BONES
Hanasaku Iroha - Blossoms for Tomorrow (TV)	Bandai Visual
Ghost in the Shell: Stand Alone Complex: Solid State Society (movie)	Production I.G
Violet Evergarden (TV)	ABC Animation
Spice and Wolf (TV)	Spice & Wolf Production Committee
Paprika (movie)	Sony Pictures
Magnetic Rose (movie)	Studio 4°C
School Rumble: 2nd Semester (TV)	Marvelous Entertainment
R.O.D -The TV-	Aniplex
Berserk: The Golden Age Arc III - The Advent (movie)	BERSERK FILM PARTNERS
Ashita no Joe 2 (TV)	Tokyo Movie Shinsha
Sound! Euphonium 2 (TV)	Kyoto Animation
(The) Eccentric Family 2 (TV)	unknown
Gungrave (TV)	Flying Dog
Last Exile (TV)	MC Entertainment
Bakuman. 3 (TV)	NHK
Legend of the Galactic Heroes: My Conquest is the Sea of Stars (movie)	Kitty Films
Rurouni Kenshin (TV)	Aniplex
Comedy (OAV)	Studio 4°C
When Marnie Was There (movie)	Koji Hoshino
Skip Beat! (TV)	Hakusensha
Land of the Lustrous (TV)	Crystal Ruiz
Natsume Yūjin-Chō Go (TV 5)	NAS
xxxHOLiC: Kei (TV)	BMG Japan
Attack on Titan (TV)	Dentsu Inc.
Neon Genesis Evangelion: The End of Evangelion (movie)	Hiroyuki Yamaga
Bakemonogatari (TV)	Aniplex
In This Corner of the World (movie)	AT-X
Master Keaton (OAV)	Shogakukan-Shueisha Productions
(The) Super Dimension Fortress Macross: Do You Remember Love? (movie)	Artland
Kiki's Delivery Service (movie)	Studio Ghibli
Hunter X Hunter: Greed Island (OAV)	Nippon Animation
Romeo and the Black Brothers (TV)	Fuji Television Network
(The) Super Dimension Fortress Macross (TV)	Anime Friend
Hajime no Ippo - Champion Road (special)	unknown
Gintama (TV)	Dentsu Inc.
(The) Boy and The Beast (movie)	Chukyo TV
One Outs (TV)	D.N. Dream Partners
Black Lagoon (TV)	Black Lagoon Production Team
Neon Genesis Evangelion (TV)	GAINAX
Tiger & Bunny (TV)	Bandai Visual
Ghost in the Shell: Stand Alone Complex - Individual Eleven (OAV)	Bandai Entertainment
No Game, No Life Zero (movie)	unknown
Fate/stay night: Unlimited Blade Works (TV)	Aniplex
Food Wars! Shokugeki no Soma (TV)	Hiroo Maruyama
(The) Anthem of the Heart (movie)	A-1 Pictures
Fate/Zero (TV)	Aniplex
Macross Frontier (TV)	Bandai Visual
Mobile Suit Gundam 00 Second Season (TV)	Mainichi Broadcasting System
Darker than Black (TV)	Aniplex
Nichijou - My Ordinary Life (TV)	Kadokawa Pictures
Space Brothers (TV)	A-1 Pictures
Gosick (TV)	BONES
One Punch Man (TV)	Asatsu
Lupin III: The Castle of Cagliostro (movie)	Kazuhiko Yagiuchi
Aria the Avvenire (OAV)	Shochiku
Denpa teki na Kanojo (OAV)	unknown
Welcome to THE SPACE SHOW (movie)	Atsuhiro Iwakami
My Hero Academia (TV)	Toho Animation
Nobody's Boy Remi (TV)	TMS Entertainment
Emma: A Victorian Romance Second Act (TV)	Ajiado
Monthly Girls' Nozaki-kun (TV)	AT-X
Kizumonogatari Part 3: Reiketsu (movie)	Aniplex
Elfen Lied (TV)	GENCO
Wolf's Rain (OAV)	Asatsu-DK
No Game, No Life (TV)	Kadokawa
Rainbow - Nisha Rokubō no Shichinin (TV)	VAP
Junjō Romantica 2 (TV)	Frontier Works
Ghost in the Shell: Stand Alone Complex - The Laughing Man (OAV)	Animax
Magical Girl Lyrical Nanoha the Movie 2nd A's	Aniplex
Tokyo Magnitude 8.0 (TV)	Asmik Ace Entertainment, Inc.
Eureka Seven (TV)	Bandai Entertainment
School Rumble (TV)	Marvelous Entertainment
Parasyte -the maxim- (TV)	Forecast Communications
Kizumonogatari Part 2: Nekketsu (movie)	Aniplex
planetarian: Hoshi no Hito (movie)	Asmik Ace, Inc.
Hinamatsuri (TV)	unknown
Ghost in the Shell (movie)	Bandai Visual
Now and Then, Here and There (TV)	AIC
Puella Magi Madoka Magica the Movie Part 2: Eternal	Aniplex
Kill la Kill (TV)	Aniplex
Berserk: The Golden Age Arc II - The Battle for Doldrey (movie)	BERSERK FILM PARTNERS
Wagnaria!!3 (TV)	Aniplex
Kizumonogatari Part 1: Tekketsu (movie)	Aniplex
Puella Magi Madoka Magica the Movie Part 1: Beginnings	Aniplex
Puella Magi Madoka Magica The Movie Part 3: Rebellion	Aniplex
Kimagure Orange Road: The Movie	Pierrot
Lovely Complex (TV)	Shueisha
Porco Rosso (movie)	Japan Airline
Hikaru No Go: New Year Special	Dentsu Inc.
Mobile Suit Gundam - The Movie Trilogy	Sunrise
Hajime no Ippo - Mashiba vs. Kimura (OAV)	unknown
(The) Place Promised in Our Early Days (movie)	CoMix Wave Films
Cardcaptor Sakura Movie 2: The Sealed Card	Bandai Visual
Legend of the Galactic Heroes: A Hundred Billion Stars, A Hundred Billion Lights (OAV)	Hiroaki Antachi
(The) Wind Rises (movie)	Buena Vista Home Entertainment
Detroit Metal City (OAV)	Beyond C.
(The) Slayers Next (TV)	J.C. Staff
KenIchi the Mightiest Disciple (TV)	TMS Entertainment
Strawberry Panic! (TV)	Dwango
ReLIFE (OAV)	unknown
Princess Jellyfish (TV)	Atsushi Terada
Bamboo Blade (TV)	AIC
Initial D: Fourth Stage (TV)	OB Planning
One Piece Film Strong World (movie 10)	Bandai Co., Ltd.
Mobile Suit Gundam 00 (TV)	Mainichi Broadcasting System
Food Wars! The Second Plate (TV)	unknown
Bakuman. (TV)	NHK Enterprises
Silver Spoon (TV)	Kouichirou Natsume
Hikaru no Go (TV)	Dentsu Inc.
Owarimonogatari (TV)	unknown
Hajime no Ippo Rising (TV)	unknown
Banner of the Stars II (TV)	Bandai Visual
ReLIFE (TV)	Aniplex
Treasure Island (TV)	TMS Entertainment
Gunbuster (OAV)	Tadatsugu Hayakawa
Higurashi no Naku Koroni Kai (TV)	Frontier Works
Case Closed: The Phantom of Baker Street (movie)	Detective Conan Production Committee
Samurai 7 (TV)	G.D.H.
Voices of a Distant Star (OAV)	CoMix Wave Films
